episode,steps,reward,distance_mm,success,epsilon
621,5,11.111339,7.995227,1,0.090387
622,5,11.111339,7.995227,1,0.090186
623,6,10.932960,7.230093,1,0.089985
624,5,11.166483,7.995227,1,0.089785
625,5,11.111339,7.995227,1,0.089587
626,5,11.166483,7.995227,1,0.089389
627,5,11.111339,7.995227,1,0.089192
628,5,11.111339,7.995227,1,0.088996
629,5,11.111339,7.995227,1,0.088802
630,6,11.053219,7.230093,1,0.088608
631,5,11.111339,7.995227,1,0.088415
632,7,10.476346,7.995227,1,0.088223
633,5,11.111339,7.995227,1,0.088032
634,5,11.166483,7.995227,1,0.087843
635,7,10.712106,7.995227,1,0.087654
636,5,11.111339,7.995227,1,0.087466
637,5,11.111339,7.995227,1,0.087278
638,9,10.134809,7.995227,1,0.087092
639,5,11.111339,7.995227,1,0.086907
640,5,11.111339,7.995227,1,0.086723
641,6,11.164835,4.879316,1,0.086539
642,5,11.111339,7.995227,1,0.086357
643,5,11.111339,7.995227,1,0.086175
644,5,11.111339,7.995227,1,0.085995
645,5,11.166483,7.995227,1,0.085815
646,5,11.111339,7.995227,1,0.085636
647,7,10.346621,7.995227,1,0.085458
648,5,11.111339,7.995227,1,0.085281
649,5,11.111339,7.995227,1,0.085105
650,5,11.111339,7.995227,1,0.084930
651,5,11.111339,7.995227,1,0.084755
652,5,11.111339,7.995227,1,0.084582
653,5,11.111339,7.995227,1,0.084409
654,5,11.111339,7.995227,1,0.084237
655,5,11.111339,7.995227,1,0.084066
656,5,11.111339,7.995227,1,0.083896
657,5,11.111339,7.995227,1,0.083727
658,5,11.111339,7.995227,1,0.083558
