#{"t_start": 1781192784.7854083, "env_id": "None"}
r,l,t,distance_mm,is_success
14.189917,2,2.952545,7.061298843730153,True
13.794299,6,2.953444,5.256545882325942,True
13.81247,5,2.954215,5.612537044245596,True
12.970113,9,2.955526,5.644647200287971,True
12.96968,9,2.956844,4.472328530596865,True
13.025785,7,2.957896,4.970694718863785,True
12.613969,7,2.958951,7.716686583450126,True
12.751019,7,2.959991,7.5164205989584305,True
15.232258,4,2.960621,4.9026955624067,True
12.53381,8,2.961796,3.9766288701069343,True
10.994013,22,2.964883,5.238614672343876,True
13.268764,4,2.965519,7.620245583289935,True
14.373061,7,2.966558,3.3654024067077053,True
13.891471,7,2.967597,7.976139538263137,True
12.707672,9,2.968915,6.8913577732265585,True
14.781156,5,2.969683,3.4836692504983326,True
12.170705,9,2.97098,7.623213301550475,True
13.783692,10,2.972424,3.1600933868427075,True
13.020256,7,2.973459,5.5195884414102085,True
13.682581,6,2.974365,5.906541417664048,True
13.868099,7,2.975408,4.435753102465416,True
13.580047,7,2.976446,5.0244370448616245,True
11.529184,16,2.978699,7.072703436355417,True
12.575466,2,2.979054,4.5202762668548,True
13.967683,8,2.980216,4.66552833654525,True
12.748205,2,2.980565,4.300453622392711,True
12.290601,12,2.982271,7.193713419970082,True
12.890726,9,2.983587,2.682506608330196,True
14.30218,7,2.984632,3.497843005268498,True
13.669614,3,2.985127,2.787401420636629,True
12.594548,5,2.985889,5.222807914853805,True
15.101142,9,2.987195,7.351374893104801,True
12.991828,13,2.989043,6.71956079838656,True
14.224955,11,2.990623,7.6455700218024685,True
13.315178,5,2.99139,5.721057604869064,True
13.850527,7,2.992429,7.771736117125315,True
13.46004,7,2.993475,6.212360801936158,True
12.55269,7,2.994513,7.510654239686229,True
14.048098,4,2.995142,4.63225773457734,True
13.844293,7,2.996179,6.488297618792184,True
13.331112,7,2.99722,7.071526578684429,True
13.061042,3,2.997712,6.12285019817875,True
12.755097,11,2.999287,5.905844719958054,True
13.479354,5,3.000058,7.652539214642804,True
14.768497,2,3.00041,5.909498334971781,True
13.988061,6,3.001318,5.609074737215055,True
12.596449,3,3.001811,4.975948722031408,True
13.940905,6,3.002711,6.572356902360907,True
12.849289,2,3.003062,3.8382458200638774,True
15.852977,6,3.003968,7.34394336310847,True
12.748369,12,3.005701,6.4457109978200915,True
15.092941,4,3.006332,5.495742229671384,True
14.663784,9,3.007648,4.189950547714895,True
12.435253,3,3.008144,7.689418528763118,True
13.319942,8,3.009322,3.8166761529573843,True
14.928667,8,3.010497,5.175977280765272,True
12.474869,14,3.01247,6.9331791431169965,True
13.629425,9,3.013793,6.04110159432217,True
12.543694,7,3.014834,7.6545304060208395,True
13.251213,4,3.015459,4.794097564553991,True
14.528435,2,3.015817,6.882962978126487,True
12.090994,10,3.017268,6.575532174088431,True
12.060996,10,3.018716,6.315942880201348,True
15.815224,6,3.01962,6.831235460864976,True
14.184818,14,3.021605,7.706031305789242,True
